Fault,Index,Long.,Lat.,Transv. Ob.,Normal Ob.,Transv. Unc.,Normal Unc.,Correlation,Transv. Pred.,Normal Pred.,Transv. Unc.,Normal Unc.,Correlation
Alfredton - Makuri 3,181,176.143701,-40.359825,3.381,-0.31,1.115,0.587,-0.127,3.38,-0.326,1.126,0.503,-0.312
Alfredton - Makuri 2,182,175.978898,-40.555385,3.381,-0.31,1.115,0.587,-0.127,3.331,-0.279,1.155,0.52,-0.25
Riversdale,183,176.166035,-41.13326,0,-3.064,1.19,1.11,0,0.033,-2.948,1.243,1.117,-0.505
Mataikona,184,176.405271,-40.724004,0,-3.064,0.734,1.11,0,-0.067,-2.813,0.766,0.999,0.159
Uruti Basin,185,176.471232,-41.28654,4,0,1.5,0.34,0,3.973,0.007,1.329,0.33,0.401
Whareama Bank,186,176.54438,-41.048939,0,-1.149,0.446,0.894,0,-0.003,-1.091,0.5,1.04,0.057
Napier 1931,187,177.069063,-39.389857,0.484,-1.486,0.605,0.938,-0.33,0.498,-1.044,0.532,0.873,-0.304
Waipukurau - Poukawa,188,176.490431,-40.081956,0.242,-0.744,0.274,0.253,0.058,0.247,-0.767,0.296,0.248,0.173
Waimana South,189,176.981685,-38.876336,1.989,0.036,1.03,0.235,0.076,1.809,0.054,0.939,0.254,0.091
Patoka - Rangiora,190,176.677927,-39.28419,2.984,-0.027,2.012,0.255,-0.071,3.437,0,1.375,0.251,-0.345
Whakatane North,191,176.994237,-38.153596,0,0.93,1.062,0.454,0,0.015,0.92,1.143,0.49,0.009
Whakatane South,192,176.887224,-38.760203,2.291,0.017,0.234,0.212,0.002,2.296,0.019,0.216,0.209,0.041
Mohaka North,193,176.62448,-39.220895,1.989,-0.018,0.512,0.17,-0.025,2.029,-0.016,0.484,0.182,-0.011
Ruahine North,194,176.608652,-39.058704,0.952,-0.095,0.676,0.357,-0.138,1.034,-0.082,0.526,0.341,-0.16
Wheao North,195,176.68119,-38.506064,0.125,0.038,0.137,0.188,-0.211,0.121,0.049,0.118,0.198,-0.241
Wheao South,196,176.601245,-38.937601,0.125,0.038,0.137,0.188,-0.211,0.129,0.033,0.159,0.195,-0.329
Waiohau North,197,176.817119,-38.209675,0.239,0.278,0.402,0.36,-0.727,0.263,0.265,0.316,0.295,-0.625
Waiohau South,198,176.768067,-38.837111,0.658,0.082,0.227,0.12,0.171,0.666,0.09,0.253,0.106,0.264
Te Whaiti,199,176.68698,-38.811183,0.25,0.075,0.273,0.375,-0.213,0.252,0.14,0.197,0.366,0.134
Uruti Basin,200,176.77009,-41.265856,4,0,1.5,0.34,0,4.003,0.016,1.445,0.339,-0.263
Uruti East,201,177.026588,-41.064966,0,-0.766,0.298,0.468,0,-0.007,-0.726,0.259,0.394,-0.111
Porangahau West 1,202,177.141403,-40.781709,0,-0.766,0.298,0.468,0,-0.02,-0.772,0.305,0.456,0.021
Edgecumbe 1987,203,176.767456,-38.032359,0,1.678,0.89,1.546,0,-0.031,1.495,0.939,1.735,0.024
White Island 1,204,176.969476,-37.893779,0,1.607,0.854,0.696,0,0.02,1.721,1.086,0.602,0.302
Edgecumbe Coastal,205,176.89946,-37.94314,0,1.414,0.75,0.672,0,-0.054,1.319,0.556,0.729,-0.148
Edgecumbe 1987,206,176.808736,-38.00599,0,1.678,0.89,1.546,0,-0.027,1.462,0.716,1.463,-0.149
Kairakau South,207,176.964742,-40.075644,0,-2.298,0.552,1.024,0,-0.01,-1.945,0.375,0.681,-0.056
Kairakau North,208,177.053609,-39.954897,0,-0.766,0.184,0.468,0,0.004,-0.826,0.204,0.398,0.213
Madden,209,177.152094,-40.523505,0,-1.915,0.46,0.98,0,-0.022,-1.883,0.467,0.92,0.075
Motuokura East,210,177.631274,-40.003973,0,-1.532,0.368,0.938,0,0.024,-1.571,0.329,1.002,0.131
White Island 1,211,177.092691,-37.777075,0,1.607,0.854,0.696,0,0.001,1.528,0.864,0.734,-0.157
Urewera 1,212,177.208198,-38.59764,0.866,0.087,0.473,0.322,0.08,0.882,0.193,0.506,0.272,0.175
Waimana South,213,177.081032,-38.645966,1.989,0.036,1.03,0.235,0.076,2.07,0.047,1.012,0.224,0.102
Waikaremoana,214,177.179842,-38.180532,1.094,0.02,0.318,0.128,0.038,1.062,0.02,0.277,0.125,-0.115
Waimana North,215,177.108402,-38.179474,1.196,0.027,0.516,0.152,0.07,1.214,0.032,0.542,0.16,0.462
Kidnappers Ridge,216,177.431453,-39.553307,0,-1.149,0.276,0.512,0,0.008,-1.12,0.301,0.582,0.166
